File,Codes,Page,ID,Text
"Switzerland_UBS, 2022, climate and nature report","[a, e]",1,815844f29adc8a17838aef52eb33ed1f,"Our sustainability governance  additional information  Helping to achieve our strategy by working with key climate- and nature-related  Our approach to sustainable finance  additional information  Supporting our climate strategy  our climate-related materiality assessment  Our sustainability and climate risk policy framework  Climate- and nature-related risk methodologies and scenarios  Information pertaining to environmental risk management regulations in APAC  Climate-related methodologies  net-zero approach for our financing activities  Climate-related methodologies  defining net-zero-aligned investment portfolios  Climate-related methodologies  our own operations  Climate-related methodologies  identifying GHG key vendors in our supply chain  UBS Europe SE considerations for sustainability and climate management  Sustainability is a multi-faceted topic, and climate and nature are two critical elements which are deeply intertwined and must be addressed together in the transition to a low carbon economy.  As outlined in the Intergovernmental Panel on Climate Change (IPCC) Sixth Assessment Reports released in 2021 and 2022, achieving the Paris Agreement objectives requires a rapid transformation across the economy given that aggregate temperatures have already increased more than 1C. The impacts of climate change are being felt already, as highlighted in studies such as the UK Government-sponsored The Economics of Biodiversity The Dasgupta Review. It notes that the stock of natural capital per person has declined by 40 over the last thirty years. Land use change is one of the largest drivers of biodiversity loss and key ecosystems play a critical role in providing carbon sinks to help mitigate climate change as noted in the UN Environmental Program Emissions Gaps Report 2022 released at the 27th Conference of the Parties to the United Nations Framework Convention on Climate Change (COP27) in November 2022. Thus, increasingly climate and nature must be jointly addressed in order to meet the goals established by both the Paris Agreement and the Kunming-Montreal Global Biodiversity Framework agreed at the 15th meeting of the Conference of the Parties to the Convention on Biological Diversity (COP 15) in December 2022. "
"Switzerland_UBS, 2022, climate and nature report","[k, l]",9,a7df7324304820f292a790d6b4dd326c,"We are committed to achieving net-zero emissions in our own operations (scopes 1 and 2) by 2025. We will do this by replacing fossil fuel heating systems, while striving 100 renewable electricity coverage and investing in credible carbon removal projects (including negative emissions technology). We are compensating for our historical scope 1 and 2 emissions back to the year 2000 and have sourced credible and clear carbon offsets and investments in nature-based solutions. As standards in this area continue to evolve (e.g., the Core Carbon Principles from the Integrity Council for Voluntary Carbon Markets), we will seek to apply them to our activities. Furthermore, we are currently working to understand and quantify the scope 3 emissions in our supply chain. We are engaging with our key vendors about targeting net zero by 2035. "
"Switzerland_UBS, 2022, climate and nature report",[e],19,1bcc043cbf9231e314d6dc33d900d8bf,"We are committed to standing with our clients to help them achieve their net-zero goals and to support the work governments around the world are doing to move the real economy to align with the Paris Agreement 1.5C commitment. In Switzerland, where our firm has its headquarters, we look forward to partnering with regulators to identify appropriate goals for financial institutions under the countrys CO2-Act. "
"Switzerland_UBS, 2022, climate and nature report",[i],28,91db0b99c79b8ba1ba932b4329ff84c1,Climate risk scenario analysis and stress testing enables UBS to assess risks along different pathways of climate change. This includes the assessment of a range of scenarios with different severities. 
"Switzerland_UBS, 2022, climate and nature report",[e],32,7eff25016984ed1cbd66d81121504345,"These are then scored and rated according to their vulnerability to climate policy, low-carbon technology risks and revenue or demand shifts under an immediate and ambitious approach to meeting the well-below-2C Paris goal. We are able to use these risk ratings to support identification of potential climate-sensitive concentrations. The ratings in the heatmap are bands of scores (from 0 to 1), and reflect the levels of risk that would likely occur under an ambitious transition (in a short-term time horizon). "
"Switzerland_UBS, 2022, climate and nature report",[d],37,e5bce56dd1980392d1140161e6e9eeb0,"Regulatory scenario analysis and stress test exercises  UBS first participated in regulatory scenario analysis and stress test exercises in 2021, namely the Bank of England (BoE) 2021 Climate Biennial Exploratory Scenario (CBES) Financial risks from climate change and the Climate Risk Stress Test (CST) of the European Central Bank (the ECB). "
"Switzerland_UBS, 2022, climate and nature report",[c],38,e21ae5b8c339f19b8ad307a6745cf2ca,"We also contributed to the NGFSs work exploring the potential for risk differentials among assets due to climate change. We joined industry efforts to evaluate regulatory exercises to date. This included the IIF report Navigating Climate Headwinds, which examined learnings from 20 global institutions on regulatory climate scenario analysis and stress test exercises. "
"Switzerland_UBS, 2022, climate and nature report",[e],38,7e26705dbba9fbef8e36b41b6e845006,"Scenario analysis informed by industry collaboration  In 2020, we were one of the pilot banks testing the Paris Agreement Capital Transition Assessment (PACTA) methodology. This methodology provides an assessment of a banks credit-financed activities in relation to the global shift to a low-carbon economy. We studied the alignment of select climate-sensitive sectors in our corporate credit portfolio with Paris Agreement benchmarks. "
"Switzerland_UBS, 2022, climate and nature report",[d],38,17a997cd5bccdb2d8e786335eac6d5c4,"In 2022, we participated in the PACTA climate alignment test focused on assessing listed investments (including equities and bonds), mortgages and direct real estate portfolios. The 2022 PACTA results for this portfolio were compared with the aggregated results of all participating banks portfolios. "
"Switzerland_UBS, 2022, climate and nature report",[i],41,b766fdb2906c184960100979af439a5b,"ubs.comglobalenassetmanagementcapabilitiessustainable-investingstewardship-engagement On the physical risk side, for our direct investments in real estate, we use a third-party location risk intelligence tool to analyze asset-level physical risk. We use another third-party data provider to inform our assessment of physical risk in our indirect real estate investments. Based on each investments specific location, these tools allow REPM to identify each assets potential physical risks under a variety of climate change scenarios and timelines. "
"Switzerland_UBS, 2022, climate and nature report",[k],44,daaee346e548cb477302fb64ba56387e,"Our climate targets and ambitions are high level goals that have been set based on the methodologies, data and assumptions that we currently use. Changes to these methodologies, data and assumptions may affect our progress toward intermediate targets and ambitions and the achievability of net zero and other climate goals. Our 2050 net-zero targets, and related ambitions for scope 3 emissions, have a critical dependency on overall progress across all sectors and countries towards net-zero carbon emissions which requires substantial governmental action across many jurisdictions. In the absence of such progress, our goals with respect to scope 3 emissions will not be achievable. "
"Switzerland_UBS, 2022, climate and nature report",[e],46,a21c4d4b0b1c251555d366dd1adbd578,"Supporting the net-zero goals of our financing clients  Conscious of the potential adverse financial, liability and reputational risks that can arise from sustainability and climate risks, in 2021 we published our ambition to align our financing portfolio with the objectives of the Paris Agreement. In our analysis, we prioritized sectors that have the highest carbon impact, as per the guidelines of the Net-Zero Banking Alliance (the NZBA), and also applied additional considerations in our prioritization. These include the materiality of the sectors in terms of financial exposure and the availability of data and applicable methodologies in order to estimate baselines and develop pathways toward the goal of net zero. We then set targets for residential and commercial real estate, fossil fuels, and power generation and disclosed these in our Sustainability Report 2021. In 2022, we added a target for cement and also performed additional analysis to establish transparency around the contribution that each sector in our portfolio makes to the total financed emissions associated with our lending portfolio. "
"Switzerland_UBS, 2022, climate and nature report",[e],46,01943c9683d44834b1e8685d00afc5af,"The exposure of our lending portfolio to the most carbon-intensive sectors is low relative to that of our peers1. In addition, the bulk of the exposure in several of these sectors is to parts of the value chain that are not currently in the focus of net-zero target-setting standards. In this way, we mitigate risks while supporting clients preparing for a low-carbon future. We will continue to manage and monitor our climate-related risks and our lending activities and aim to orient our new and existing business efforts toward net zero by 2050. We aim to do this by further strengthening our operating model and increasing our efforts in the field of transition and green finance. We also expect new technologies to emerge, along with policies and actions from governments, which will support the real economy in limiting warming to 1.5C. We regard such developments as dependencies for us to contribute to meeting the goals of the Paris Agreement. "
"Switzerland_UBS, 2022, climate and nature report",[e],46,e079e668a64162632d12f1df2e6ff95a,"For financial market participants, net-zero alignment means drawing links between financing activities, clients carbon emissions and the goals of the Paris Agreement. Our approach has been built upon the guidance of global standard setters such as the NZBA, the Partnership for Carbon Accounting Financials (the PCAF) and the Paris Agreement Capital Transition Assessment (PACTA). "
"Switzerland_UBS, 2022, climate and nature report",[b],46,c03481b2c3e65a99a05e68d0e2fa0e49,"Determine scope and priority sectors Emissions measured using metrics relevant to sector Example Emissions measured in kg CO2em2, an emissions intensity fi gure Select scientifi cally recognized reference scenarios Example Net Zero by 2050 scenario as modelled by the International Energy Agency (the IEA) Assess actions needed to reach net zero Example Largest lending exposure real estate mortgages Example Increase proportion of effi cient buildings in portfolio Embed targets into business processes and client offerings Example Provide offerings encouraging retrofi tting Priorities Priority sectors use climate-sensitive sectors as a starting point and then focus on the ones that are the most materially relevant for UBS, and have available data and approaches. Measuring emissions Absolute emissions emissions being fi nanced emissions per physical unit Physical emissions intensity   Refer to the Appendix 4  Metrics and targets section of this report for further information about each of these five steps  1 Based on an internal analysis using data supplied by the European Banking Authority. "
"Switzerland_UBS, 2022, climate and nature report",[b],48,66109dd691ef05564d159b6d5850e2bc,"Our proposed targets can, however, only be achieved if governments also support the decarbonization of real estate, for example by incentivizing improved property efficiency and the use of non-fossil fuel heating systems. It is partly because of this dependency that our emissions trajectory is at present above the International Energy Agency (the IEA) Net Zero by 2050 roadmap. We will consider readjusting our reduction pathway to align with new data or developments as they become available. "
